Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
Allenrolfea occidentalis,NA,9584,Allenrolfea,Amaranthaceae,Amaranthaceae undiff.,1,NA,NA,NA
Allionia,NA,1581,Nyctaginaceae,Caryophyllales,Nyctaginaceae,2,NA,NA,NA
Allium,NA,12,Amaryllidaceae,Asparagales,Allium,19,NA,NA,NA
Allium-type,NA,557,Monocotyledoneae incertae sedis,Monocotyledoneae,Allium,5,NA,NA,NA
Alnus,NA,330,Betulaceae,Fabales,Alnus,NA,NA,NA,NA
Alnus (hexaporate),NA,3662,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus (pentaporate),NA,3660,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus (tetraporate),NA,3659,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus (triporate),NA,3661,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus cf. A. viridis subsp. crispa,NA,23961,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus incana,NA,344,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus incana-type,NA,13,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus rhombifolia-type,NA,971,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus rubra,NA,861,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus rubra-type,NA,264,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus serrulata-type,NA,NA,NA,NA,Alnus,NA,NA,NA,NA
Alnus undiff.,NA,15,Alnus,Betulaceae,Alnus,NA,NA,NA,NA
Alnus viridis,NA,353,Alnus subg. Alnobetula,Alnus,Alnus,NA,NA,NA,NA
Alnus viridis-type,NA,14,Alnus subg. Alnobetula,Alnus,Alnus,NA,NA,NA,NA
Alnus viridis subsp. crispa,NA,3606,Alnus viridis,Alnus subg. Alnobetula,Alnus,NA,NA,NA,NA
Alnus viridis subsp. crispa-type,NA,3607,Alnus viridis-type,Alnus subg. Alnobetula,Alnus,NA,NA,NA,NA
